Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:86410000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
86410000;1;01/12/2017;;1;1;80,849;13,163;31,232;25;18;1;1;1;0;0;34,489;33,981;36,033;31,986;38,141;35,515;31,986;33,477;18,837;25,448;27,702;24,571;21,615;15,881;27,702;20,803;25,007;13,163;16,238;19,223;21,615;13,49;24,571;35,515;80,849;51,954;39,758;40,305;34,489;29,57;64,289;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86410000;1;01/11/2017;;1;1;77,099;28,164;46,77;26;15;1;1;1;0;0;31,495;36,555;37,08;40,854;59,602;53,195;43,088;39,216;38,677;36,033;45,957;47,129;40,305;36,555;28,164;32,976;38,677;56,999;69,142;64,289;53,82;48,315;48,315;42,524;35;77,099;73,432;58,946;47,129;42,524;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86410000;1;01/10/2017;;1;1;572,667;21,615;103,409;13;5;1;1;1;0;0;26,79;33,477;35,515;38,141;21,615;33,981;37,609;25,891;50,119;41,964;138,104;480,857;572,667;300,741;200,557;139,036;107,928;90,188;83,139;94,778;84,682;78,589;74,158;69,848;64,973;50,728;47,72;51,339;47,72;42,524;40,305;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86410000;1;01/09/2017;;1;1;51,954;12,521;21,265;17;8;3;3;3;0;0;18,837;22,86;13,49;21,207;15,881;13,82;13,163;12,521;13,163;13,82;13,49;13,49;16,962;14,492;17,33;36,555;51,954;48,315;35,515;25,448;32,479;17,33;26,339;20,803;16,238;25,448;18,455;16,238;13,49;18,837;;;;;;;;;;;;;;;;;;;;;;3;;;;;3;;;;;0;
86410000;1;01/08/2017;;1;1;89,391;14,492;29,362;21;8;1;1;1;0;0;22,441;17,701;22,441;27,244;31,495;23,708;20,803;14,492;20,403;14,492;23,708;20,403;33,477;34,489;41,407;31,009;31,495;22,026;21,207;35;89,391;53,82;43,088;36,555;33,981;32,479;23,708;21,615;25,891;16,962;23,282;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86410000;1;01/07/2017;;1;1;51,339;14,154;28,834;2;29;1;1;1;0;0;48,913;51,339;47,72;40,305;38,141;37,08;35,515;34,489;33,981;34,489;26,79;23,708;28,164;23,708;22,86;27,702;24,138;25,448;25,891;25,007;25,448;26,339;24,571;23,282;22,86;18,455;18,455;20,403;14,154;20,803;23,708;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86410000;1;01/06/2017;;1;1;770,978;43,655;229,83;8;30;1;1;1;0;0;689,832;576,282;345,554;289,372;523,201;422,91;283,132;770,978;590,854;354,095;256,33;208,187;172,214;151,385;131,648;120,872;111,322;101,267;97,191;92,389;86,239;76,359;69,848;62,26;57,645;57,645;53,195;49,514;49,514;43,655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
86410000;1;01/05/2017;;1;1;717,739;26,79;154,831;28;13;3;3;3;0;0;59,602;56,356;47,129;55,082;61,591;53,82;45,957;42,524;40,854;36,033;36,033;36,555;26,79;62,26;79,339;65,659;49,514;46,541;86,239;138,104;303,291;272,038;167,157;171,198;183,552;140,908;330,589;717,739;556,532;339,915;490,862;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;
86410000;1;01/04/2017;;1;1;441,828;8,984;61,093;26;3;1;1;1;0;0;12,205;12,205;8,984;10,684;18,455;109,62;73,432;44,799;38,141;29,57;31,495;31,495;32,976;28,164;26,339;29,57;28,629;30,046;30,526;27,244;23,708;24,571;22,026;22,026;37,08;441,828;294,403;147,54;91,598;73,432;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86410000;1;01/03/2017;;1;1;84,682;10,102;31,17;17;1;1;1;1;0;0;10,102;13,82;12,205;31,986;41,407;30,046;25,007;21,615;14,834;29,57;29,57;50,728;60,262;41,964;36,555;42,524;84,682;64,289;45,376;35,515;35;31,009;26,339;25,448;23,708;21,615;25,007;17,701;14,834;10,391;13,163;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
