Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:03052010


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
3052010;1;01/09/2017;1;36,1;149,5;15;14;1;1;1;;0;0,0;0,0;0,0;0,0;24,5;7,5;4,9;0,0;0,0;0,0;4,6;0,0;22,5;4,7;36,1;3,1;7,7;0,0;0,0;0,0;0,0;0,0;10,7;0,0;0,0;2,3;9,2;4,5;0,0;7,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3052010;1;01/08/2017;1;65,1;192,6;13;9;1;1;1;;0;0,0;4,3;26,8;0,0;0,0;0,0;0,0;11,1;0,0;0,0;8,5;29,5;65,1;39,5;0,0;0,0;0,0;0,0;0,0;5,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,1;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3052010;1;01/07/2017;1;10,8;24,1;12;4;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,5;10,8;2,1;0,0;0,0;0,0;6,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3052010;1;01/06/2017;1;49,4;138,4;8;7;1;1;1;;0;5,9;0,0;0,0;0,0;0,0;0,0;49,0;49,4;14,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9;14,9;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3052010;1;01/05/2017;1;123,1;334,9;13;11;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;47,0;123,1;6,5;0,0;0,0;0,0;0,0;7,7;3,5;21,7;0,0;0,0;1,9;60,3;31,3;30,4;0,0;1,5;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3052010;1;01/04/2017;1;44,2;128,7;11;6;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;8,5;0,0;0,0;0,0;28,0;44,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;19,5;15,2;0,0;0,0;0,0;13,3;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3052010;1;01/03/2017;1;118,7;226,5;12;4;1;1;1;;0;0,0;0,0;0,0;0,0;22,7;0,0;0,0;0,0;0,0;65,1;0,0;118,7;0,0;0,0;0,0;20,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3052010;1;01/02/2017;1;48,9;136,3;13;10;1;1;1;;0;9,2;6,1;0,0;0,0;10,5;0,0;0,0;0,0;0,0;0,0;7,9;6,3;48,9;0,0;0,0;0,0;32,7;0,0;7,9;0,0;0,0;3,1;3,7;0,0;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
3052010;1;01/01/2017;1;33,8;102,7;17;9;1;1;1;;0;2,7;5,9;0,0;7,9;0,0;0,0;0,0;0,0;6,5;26,7;0,0;0,0;0,0;0,0;0,0;0,0;33,8;7,1;0,0;0,0;0,0;0,0;0,0;0,0;8,9;0,0;0,0;0,0;0,0;0,0;3,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3052010;1;01/12/2016;1;45,4;152,8;31;7;1;1;1;;0;0,0;0,0;0,0;8,8;0,0;0,0;27,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,7;0,0;0,0;0,0;0,0;0,0;0,0;31,9;14,9;22,1;0,0;0,0;45,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3052010;1;01/11/2016;1;60,5;123,4;2;7;1;1;1;;0;0,0;60,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,1;4,5;0,0;0,0;0,0;0,0;8,7;0,0;6,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;21,2;12,2;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3052010;1;01/10/2016;1;54,1;153,2;17;8;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,3;0,0;7,8;54,1;49,7;2,8;26,6;0,0;0,0;0,0;0,0;0,0;7,7;2,2;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3052010;1;01/09/2016;1;29,1;69,4;13;5;1;1;1;;0;0,0;0,0;0,0;7,2;0,0;27,2;4,4;0,0;0,0;0,0;0,0;0,0;29,1;0,0;0,0;0,0;0,0;0,0;1,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3052010;1;01/08/2016;1;50,3;147,4;7;7;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;50,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,5;1,3;0,0;0,0;0,0;0,0;3,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23,3;41,8;25,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3052010;1;01/07/2016;1;42,6;107,0;12;6;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;23,6;2,1;0,0;0,0;6,8;0,0;42,6;0,0;0,0;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;29,8;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3052010;1;01/06/2016;1;16,2;23,5;26;3;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,2;6,2;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3052010;1;01/05/2016;1;27,2;51,7;16;4;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,9;0,0;0,0;0,0;12,4;27,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,2;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
